casts,directors,id,imdbRate,imdbRateNumber,imdburl,number,rate,title,url
"瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,詹姆斯·加纳,斯塔尔勒塔·杜波利斯",尼克·卡萨维茨,1309163,7.9,"432,247",http://www.imdb.com/title/tt0332280,275525,8.5,恋恋笔记本,https://movie.douban.com/subject/1309163/
"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特",戈尔·维宾斯基,1298070,8.0,"889,235",http://www.imdb.com/title/tt0325980,340622,8.6,加勒比海盗,https://movie.douban.com/subject/1298070/
"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,埃丽萨·莫鲁奇",朱塞佩·托纳多雷,1292402,7.5,"72,019",http://www.imdb.com/title/tt0213847,347329,8.7,西西里的美丽传说,https://movie.douban.com/subject/1292402/
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特",安德鲁·斯坦顿,2131459,8.4,"803,189",http://www.imdb.com/title/tt0910970,508663,9.3,机器人总动员,https://movie.douban.com/subject/2131459/
"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,理查德·卡斯特尔诺,罗伯特·杜瓦尔",弗朗西斯·福特·科波拉,1291841,9.2,"1,276,083",http://www.imdb.com/title/tt0068646,350871,9.2,教父,https://movie.douban.com/subject/1291841/
"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",刘镇伟,1292213,8.1,"4,664",http://www.imdb.com/title/tt0114996,500152,9.2,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/
"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,戴尔里·林多","彼特·道格特,鲍勃·彼德森",2129039,8.3,"746,589",http://www.imdb.com/title/tt1049413,504629,8.9,飞屋环游记,https://movie.douban.com/subject/2129039/
"白百何,文章,张嘉译,王耀庆,张子萱",滕华涛,4873490,6.6,"1,064",http://www.imdb.com/title/tt2115388,377806,7.3,失恋33天,https://movie.douban.com/subject/4873490/
"夏雨,宁静,陶虹,耿乐,斯琴高娃",姜文,1291875,8.3,"2,797",http://www.imdb.com/title/tt0111786,269133,8.7,阳光灿烂的日子,https://movie.douban.com/subject/1291875/
"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,杰弗里·怀特,拉塞尔·皮特斯",邓肯·琼斯,3075287,7.5,"416,383",http://www.imdb.com/title/tt0945513,396475,8.3,源代码,https://movie.douban.com/subject/3075287/
"柯震东,陈妍希,敖犬,郝劭文,蔡昌宪",九把刀,4920528,7.7,"7,103",http://www.imdb.com/title/tt2036416,496347,8.1,那些年，我们一起追的女孩,https://movie.douban.com/subject/4920528/
"徐峥,王宝强,李曼,李小璐,左小青",叶伟民,4237879,6.8,"1,061",http://www.imdb.com/title/tt1737237,289637,7.4,人在囧途,https://movie.douban.com/subject/4237879/
"梁朝伟,林青霞,张国荣,叶玉卿,张学友",刘镇伟,1316510,7.2,"1,588",http://www.imdb.com/title/tt0108074,274682,8.7,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/
"朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,安东尼·希尔德,布鲁克·史密斯",乔纳森·戴米,1293544,8.6,"994,712",http://www.imdb.com/title/tt0102926,353573,8.7,沉默的羔羊,https://movie.douban.com/subject/1293544/
"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,安东尼·迈克尔·豪尔,凯西·贝克",蒂姆·波顿,1292370,7.9,"385,680",http://www.imdb.com/title/tt0099487,485387,8.7,剪刀手爱德华,https://movie.douban.com/subject/1292370/
"杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德,路易丝·弗莱彻,特德·马克兰德",米洛斯·福尔曼,1292224,8.7,"746,695",http://www.imdb.com/title/tt0073486,280912,9.0,飞越疯人院,https://movie.douban.com/subject/1292224/
"陈坤,黄渤,舒淇,杨颖,夏雨",乌尔善,3077412,6.0,"2,412",http://www.imdb.com/title/tt4276752,333697,7.5,寻龙诀,https://movie.douban.com/subject/3077412/
"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹",詹姆斯·卡梅隆,1652587,7.8,"957,724",http://www.imdb.com/title/tt0499549,524339,8.6,阿凡达,https://movie.douban.com/subject/1652587/
"奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔日·梅兰",让-皮埃尔·热内,1292215,8.4,"589,129",http://www.imdb.com/title/tt0211915,485323,8.7,天使爱美丽,https://movie.douban.com/subject/1292215/
"克里斯蒂安·贝尔,倪妮,张歆怡,黄天元,韩熙庭",张艺谋,3649049,7.6,"42,004",http://www.imdb.com/title/tt1410063,307309,8.0,金陵十三钗,https://movie.douban.com/subject/3649049/
"苏拉·沙玛,拉菲·斯波,伊尔凡·可汗,热拉尔·德帕迪约,塔布",李安,1929463,7.9,"484,681",http://www.imdb.com/title/tt0454876,588352,9.0,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/
